employee_id,employee_super_region,year_nbr,month_nbr,active_days,interactions_count,pitches_count,wins_count,,,,
28085,APAC,2020,7,9,83,120,51,,,,
28085,APAC,2020,8,6,49,74,40,,,,
28085,APAC,2020,9,16,151,247,71,,,,
28085,APAC,2020,10,12,101,230,54,,,,
28085,APAC,2020,11,15,106,284,71,,,,
28085,APAC,2020,12,5,35,78,36,,,,
28599,APAC,2020,10,19,114,417,239,,,,
28599,APAC,2020,11,17,116,426,131,,,,
28599,APAC,2020,12,10,64,225,52,,,,
28734,APAC,2020,4,1,1,\N,\N,,,,
28734,APAC,2020,5,5,14,\N,\N,,,,
28734,APAC,2020,6,13,147,402,138,,,,
28734,APAC,2020,7,12,119,366,65,,,,
28734,APAC,2020,8,13,127,379,79,,,,
28734,APAC,2020,9,16,148,433,72,,,,
28734,APAC,2020,10,17,163,463,113,,,,
28734,APAC,2020,11,15,142,467,57,,,,
28734,APAC,2020,12,8,71,289,41,,,,
28742,APAC,2020,5,5,6,\N,\N,,,,
28742,APAC,2020,6,14,151,205,79,,,,
28742,APAC,2020,7,8,54,138,33,,,,
28742,APAC,2020,8,11,88,242,39,,,,
28742,APAC,2020,9,17,131,324,83,,,,
28742,APAC,2020,10,17,111,303,48,,,,
28742,APAC,2020,11,16,108,223,41,,,,
28742,APAC,2020,12,11,63,170,29,,,,
28915,AMER,2020,12,11,91,162,33,,,,
29306,APAC,2020,5,5,8,\N,\N,,,,
29306,APAC,2020,6,13,61,178,41,,,,
29306,APAC,2020,7,15,58,188,38,,,,
29306,APAC,2020,9,16,75,261,49,,,,
29306,APAC,2020,10,20,94,260,60,,,,
29306,APAC,2020,11,11,50,144,24,,,,
29306,APAC,2020,12,7,26,60,12,,,,
29539,APAC,2020,5,4,5,\N,\N,,,,
29539,APAC,2020,6,10,66,78,38,,,,
29539,APAC,2020,7,18,123,222,60,,,,
29539,APAC,2020,8,10,73,212,43,,,,
29539,APAC,2020,9,18,126,278,73,,,,
29539,APAC,2020,10,18,112,284,70,,,,
29539,APAC,2020,11,16,108,191,49,,,,
29539,APAC,2020,12,10,49,107,25,,,,
29622,APAC,2020,5,5,10,\N,\N,,,,
29622,APAC,2020,6,17,299,881,126,,,,
29622,APAC,2020,7,16,205,694,97,,,,
29622,APAC,2020,8,9,101,336,73,,,,
29622,APAC,2020,9,20,248,962,141,,,,
29622,APAC,2020,10,15,176,574,81,,,,
29622,APAC,2020,11,15,160,623,132,,,,
29622,APAC,2020,12,10,102,457,86,,,,
29891,APAC,2020,7,1,1,2,1,,,,
29891,APAC,2020,8,1,1,3,0,,,,
29891,APAC,2020,11,1,1,4,0,,,,
29891,APAC,2020,12,1,1,1,0,,,,
29908,LATAM,2020,5,2,2,\N,\N,,,,
29908,LATAM,2020,6,16,153,326,76,,,,
29908,LATAM,2020,7,14,133,432,91,,,,
29908,LATAM,2020,8,15,154,447,109,,,,
